ID,name,country,teams,total_maps,total_rounds,kd_diff,kd,rating
112,mertz,Denmark,"['North Academy', 'Heroic', 'Heroic', 'North', 'North', 'Nordavind', 'Singularity']",955,25333,2594,1.16,1.1
113,Izzy,Turkey,"['9INE', '9INE', 'Sangal']",113,3003,328,1.17,1.1
114,Nami,United Arab Emirates,"['NASR', 'Risky']",199,5201,476,1.14,1.1
115,Vexite,Australia,"['ORDER', 'Chiefs']",208,5228,434,1.12,1.1
116,WARDELL,Canada,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,1648,1.17,1.1
117,swag,United States,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,1629,1.18,1.1
118,mir,Russia,"['Spirit', 'Spirit', 'Vega Squadron', 'Gambit']",938,24644,2439,1.15,1.1
119,Farlig,Denmark,"['FunPlus Phoenix', 'Copenhagen Flames', 'GODSENT']",602,16090,1665,1.16,1.1
120,nawwk,Sweden,"['GamerLegion', 'NIP', 'NIP', 'x6tence Galaxy']",756,20188,2261,1.18,1.1
121,biguzera,Brazil,['paiN'],388,10363,1061,1.16,1.1
122,xccurate,Indonesia,"['TYLOO', 'Recca', 'BTRG']",656,16971,1661,1.15,1.1
123,h4rn,Bulgaria,"['Fiend', 'FATE']",404,10718,1206,1.19,1.1
124,aliStair,Australia,"['ORDER', 'Chiefs']",979,24933,2631,1.17,1.1
125,witz,Philippines,"['Bren', 'TNC']",336,8746,931,1.17,1.1
126,electronic,Russia,"['Natus Vincere', 'FlipSid3']",1176,31005,2823,1.14,1.1
127,Zac,Vietnam,"['Born Of Fire', 'Skyred', 'Rebellion']",130,3264,292,1.13,1.1
128,dumau,Brazil,"['GODSENT', 'Yeah', 'Evidence']",300,8000,887,1.18,1.1
129,Ax1Le,Russia,"['Gambit', 'Gambit Youngsters']",807,21427,2144,1.16,1.1
130,mini,Turkey,"['Royal Bandits', 'DarkPassage', 'ex-DarkPassage', 'Demise']",318,8292,641,1.11,1.1
131,allu,Finland,"['ENCE', 'NIP', 'NIP', 'FaZe']",1603,41986,4343,1.16,1.1
132,moose,Canada,"['eUnited', 'Rise Nation']",752,19559,1975,1.16,1.1
133,mixwell,Spain,"['OpTic', 'Movistar Riders']",840,21804,1911,1.13,1.09
134,SNk,Kyrgyzstan,['Tengri'],224,5918,503,1.13,1.09
135,Sonic,South Africa,"['Extra Salt', 'Bravado', 'Cloud9', 'ATK']",866,22274,2104,1.15,1.09
136,syrsoN,Germany,"['BIG', 'BIG', 'ALTERNATE aTTaX', 'Sprout']",1557,41316,4163,1.16,1.09
137,mezii,United Kingdom,"['Endpoint', 'Endpoint', 'GamerLegion', 'Cloud9', 'Vexed']",378,10332,1001,1.15,1.09
138,oSee,United States,"['Extra Salt', 'Singularity', 'Cloud9', 'Gorilla Gang']",885,22946,2380,1.16,1.09
139,KQLY,France,"['LDLC', 'LDLC', 'Titan', 'Clan-Mystik']",250,6394,524,1.12,1.09
140,cynic,United States,['Triumph'],423,10970,1064,1.15,1.09
141,gas,China,"['Wings Up', 'Wings Up', 'LGD', 'EDG', 'Aster']",424,11049,705,1.09,1.09
142,dispenser,Philippines,['Mineski'],188,4793,280,1.08,1.09
143,dennyslaw,Bulgaria,['SKADE'],880,23616,2195,1.14,1.09
144,Remind,Tunisia,"['Tunisia', 'Yalla', 'Limitless']",101,2685,169,1.09,1.09
145,GeT_RiGhT,Sweden,"['NIP', 'NIP']",1744,45005,4289,1.15,1.09
146,JUGi,Denmark,"['Heroic', 'Heroic', 'OpTic', 'Tricked', 'North', 'North']",935,24296,2659,1.18,1.09
147,zehN,Finland,"['GODSENT', 'HAVU', 'PENTA', 'PENTA']",1031,27206,2307,1.13,1.09
148,lollipop21k,Belarus,"['Nemiga', 'GoodJob']",1046,28053,2279,1.12,1.09
149,dgt,Uruguay,"['9z', 'Malvinas']",285,7450,763,1.16,1.09
150,Cooper,United States,"['Swole Patrol', 'eUnited', 'Triumph']",729,18904,1883,1.16,1.09
151,Magisk,Denmark,"['Astralis', 'SK', 'Dignitas']",1290,33939,3224,1.15,1.09
152,ZOREE,Finland,"['HAVU', 'iGame.com', 'SJ']",1598,42423,4309,1.16,1.09
153,ryx,United States,"['Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest']",491,12856,1181,1.14,1.09
154,keeyto,Australia,"['Paradox', 'MC', 'rewound']",202,5211,442,1.13,1.09
155,floppy,United States,"['Cloud9', 'Singularity', 'ATK']",669,17567,1368,1.12,1.09
156,ScreaM,Belgium,"['Envy', 'G2', 'Titan', 'VeryGames']",1430,37087,3105,1.13,1.09
157,valde,Denmark,"['OG', 'North', 'North', 'Heroic', 'Heroic']",1170,31047,2711,1.13,1.09
158,EliGE,United States,['Liquid'],1476,38669,2796,1.11,1.09
159,BL1TZ,Australia,"['Chiefs', 'Legacy', 'AVANT', 'Funky Monkeys']",716,18370,1560,1.13,1.09
160,minimal,Argentina,"['River Plate', 'Malvinas', 'Furious', 'Furious']",122,3231,287,1.14,1.09
161,k0nfig,Denmark,"['Dignitas', 'OpTic', 'Complexity', 'Complexity', 'North', 'North']",1418,37477,2415,1.09,1.09
162,dupreeh,Denmark,"['Astralis', 'TSM']",1832,47667,4267,1.14,1.09
163,Hatz,Australia,"['Renegades', 'ORDER', 'Kings']",869,22188,2030,1.14,1.09
164,NAF,Canada,"['Liquid', 'OpTic']",1437,37717,3614,1.15,1.09
165,ritchiEE,Belgium,"['GORILLAZ', 'GORILLAZ', 'EC Brugge', 'EC Brugge', 'Tenerife Titans', 'MAESTRO']",185,4902,403,1.13,1.09
166,Machinegun,Mongolia,"['TheMongolz', 'Mazaalai', 'Splyce']",407,10370,680,1.09,1.09
167,Attacker,China,"['TYLOO', 'Flash']",1175,30177,2576,1.13,1.09
168,tor1towOw,Peru,"['Infinity', 'Infinity', 'Niknexus', 'Supremacy', 'Supremacy']",160,4111,300,1.11,1.09
169,nex,Germany,"['BIG', 'BIG', 'mousesports']",1074,28389,2435,1.13,1.09
170,s4,Ukraine,['EC Kyiv'],139,3696,337,1.15,1.09
